objectID,description
398746,"Self-Portrait, from ""Image de divers hommes: The true effigies of the most eminent Painters"" Wenceslaus Hollar Drawings and Prints 17th century Etching; third state of five vision_tokens:  text_tokens: self-portrait, from ""image de divers hommes: the true effigies of the most eminent painters"" wenceslaus hollar drawings and prints 17th century etching third state of five"
361509,Weceslaus Hollar Wenceslaus Hollar Drawings and Prints 1649 Etching; second state of five vision_tokens:  text_tokens: weceslaus hollar wenceslaus hollar drawings and prints 1649 etching second state of five
361300,Stefano della Bella Wenceslaus Hollar Drawings and Prints 1649 Etching; second state of five (NH) vision_tokens:  text_tokens: stefano della bella wenceslaus hollar drawings and prints 1649 etching second state of five (nh)
464419,"Plaque with the Baptism of Jesus nan Medieval Art ca. 1150–75 Champlevé enamel, copper alloy, gilt vision_tokens:  text_tokens: plaque with the baptism of jesus nan medieval art ca. 1150–75 champlevé enamel, copper alloy, gilt"
357387,"The Faerie Queene, A Poem in Six Books with the Fragment Mutabilitie: Book I Edmund Spenser Drawings and Prints 1894–97 Illustrations: woodcuts vision_tokens:  text_tokens: the faerie queene, a poem in six books with the fragment mutabilitie: book i edmund spenser drawings and prints 1894–97 illustrations: woodcuts"
573446,Seated Statue of the Steward Sehetepibreankh nan Egyptian Art ca. 1919–1885 B.C. Limestone vision_tokens:  text_tokens: seated statue of the steward sehetepibreankh nan egyptian art ca. 1919–1885 b.c. limestone
552999,"Relief, Nebhepetre Mentuhotep's wives, shrine nan Egyptian Art ca. 2051–2030 B.C. Limestone vision_tokens:  text_tokens: relief, nebhepetre mentuhotep's wives, shrine nan egyptian art ca. 2051–2030 b.c. limestone"
193506,"Processional cross nan European Sculpture and Decorative Arts ca. 1460–80 Partly gilt silver, niello, and copper with traces of gilding, over wood vision_tokens:  text_tokens: processional cross nan european sculpture and decorative arts ca. 1460–80 partly gilt silver, niello, and copper with traces of gilding, over wood"
251468,Terracotta amphora (jar) Praxias Group Greek and Roman Art ca. 480–460 BCE Terracotta vision_tokens:  text_tokens: terracotta amphora (jar) praxias group greek and roman art ca. 480–460 bce terracotta
549335,Hes Vase with the name of Ramesses IV nan Egyptian Art ca. 1153–1147 B.C. Unalloyed copper vision_tokens:  text_tokens: hes vase with the name of ramesses iv nan egyptian art ca. 1153–1147 b.c. unalloyed copper
