objectID,title,artist,department,objectDate,medium,image_path
398746,"Self-Portrait, from ""Image de divers hommes: The true effigies of the most eminent Painters""",Wenceslaus Hollar,Drawings and Prints,17th century,Etching; third state of five,data\raw\images\398746.jpg
361509,Weceslaus Hollar,Wenceslaus Hollar,Drawings and Prints,1649,Etching; second state of five,data\raw\images\361509.jpg
361300,Stefano della Bella,Wenceslaus Hollar,Drawings and Prints,1649,Etching; second state of five (NH),data\raw\images\361300.jpg
464419,Plaque with the Baptism of Jesus,,Medieval Art,ca. 1150–75,"Champlevé enamel, copper alloy, gilt",data\raw\images\464419.jpg
357387,"The Faerie Queene, A Poem in Six Books with the Fragment Mutabilitie: Book I",Edmund Spenser,Drawings and Prints,1894–97,Illustrations: woodcuts,data\raw\images\357387.jpg
573446,Seated Statue of the Steward Sehetepibreankh,,Egyptian Art,ca. 1919–1885 B.C.,Limestone,data\raw\images\573446.jpg
552999,"Relief, Nebhepetre Mentuhotep's wives, shrine",,Egyptian Art,ca. 2051–2030 B.C.,Limestone,data\raw\images\552999.jpg
193506,Processional cross,,European Sculpture and Decorative Arts,ca. 1460–80,"Partly gilt silver, niello, and copper with traces of gilding, over wood",data\raw\images\193506.jpg
251468,Terracotta amphora (jar),Praxias Group,Greek and Roman Art,ca. 480–460 BCE,Terracotta,data\raw\images\251468.jpg
549335,Hes Vase with the name of Ramesses IV,,Egyptian Art,ca. 1153–1147 B.C.,Unalloyed copper,data\raw\images\549335.jpg
436003,The Young Bather,Gustave Courbet,European Paintings,1866,Oil on canvas,data\raw\images\436003.jpg
11759,The True American,Enoch Wood Perry,The American Wing,ca. 1874,Oil on canvas,data\raw\images\11759.jpg
590607,Fragment from scene of Queen Neferu having her hair done - see 26.3.353-5,,Egyptian Art,ca. 2051–2030 B.C.,"Limestone, paint",data\raw\images\590607.jpg
435711,An Egyptian Peasant Woman and Her Child,Léon Bonnat,European Paintings,1869–70,Oil on canvas,data\raw\images\435711.jpg
764091,Our Lady of Valvanera,Unknown,The American Wing,ca. 1770–80,Oil and gold on canvas,data\raw\images\764091.jpg
